gmb,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
395,-0.09300000220537186,-0.09300000220537186,3207.0,0.5839999914169312,9.602999687194824,8.232000350952148,24.549999237060547,82.8759994506836,0.3880000114440918,-0.1850000023841858,0.27799999713897705,-0.09300000220537186,-0.09300000220537186,0.0,0.3880000114440918,0.3880000114440918,0.8399999737739563,0.28600001335144043,0.38199999928474426,0.18000000715255737,1.0,4.0,57.849998474121094,865.5250244140625,26.140520095825195,5.300000190734863,9.014549255371094,1097.241943359375,1119958,3697.5032452254513,33.798433187008904
396,-0.45899999141693115,-0.45899999141693115,2917.0,0.9750000238418579,9.241999626159668,8.333000183105469,24.523000717163086,82.81199645996094,0.27799999713897705,0.0,0.09000000357627869,-0.328000009059906,-0.3610000014305115,0.0,0.5370000004768372,0.5370000004768372,0.5849999785423279,0.3880000114440918,0.5879999995231628,0.2029999941587448,0.0,4.0,66.38749694824219,865.6749877929688,26.123435974121094,5.724999904632568,15.474464416503906,1096.873046875,1119959,924.3765822838694,15.650903147010403
397,0.0,0.0,4316.0,0.4129999876022339,7.224999904632568,5.823999881744385,25.63599967956543,84.49400329589844,0.0,0.09300000220537186,8.03499984741211,0.0,0.0,0.0,0.609000027179718,0.609000027179718,2.0350000858306885,0.38199999928474426,2.135999917984009,0.328000009059906,2.0,4.0,5.900000095367432,841.3300170898438,26.606395721435547,0.0,3.975024938583374,1104.1190185546875,1120164,10168.129821929437,-19.003450565567697
398,0.0,0.0,4213.0,0.47200000286102295,7.119999885559082,5.709000110626221,25.716999053955078,84.56300354003906,-0.09300000220537186,0.1860000044107437,7.941999912261963,0.09300000220537186,0.0,0.0,0.5839999914169312,0.5839999914169312,1.9179999828338623,0.49799999594688416,2.0769999027252197,0.4560000002384186,1.0,2.0,6.099999904632568,841.25,26.60364532470703,0.0,3.975024938583374,1103.991943359375,1120165,1848.7552582140881,53.803603598655904
399,0.09000000357627869,0.09000000357627869,4213.0,0.46399998664855957,7.107999801635742,5.684000015258789,25.704999923706055,84.54100036621094,-0.09300000220537186,0.20600000023841858,7.85099983215332,0.09300000220537186,0.09000000357627869,0.0,0.5180000066757202,0.5180000066757202,1.8329999446868896,0.5370000004768372,2.1110000610351562,0.5180000066757202,0.0,7.0,6.300000190734863,841.25,26.59635353088379,0.0,3.975024938583374,1103.91796875,1120166,924.3776290249323,85.33382771129558
400,0.1289999932050705,0.1289999932050705,4213.0,0.46399998664855957,7.0970001220703125,5.659999847412109,25.694000244140625,84.5199966430664,-0.1289999932050705,0.2590000033378601,7.761000156402588,0.1289999932050705,0.18000000715255737,0.0,0.45899999141693115,0.45899999141693115,1.7489999532699585,0.5879999995231628,2.1470000743865967,0.5839999914169312,0.0,4.0,6.5,841.25,26.589061737060547,0.0,3.975024938583374,1103.843994140625,1120167,1848.7542108312014,32.27766735368492
401,-0.09000000357627869,-0.09000000357627869,3703.0,0.49799999594688416,9.77299976348877,8.092000007629395,24.663000106811523,83.00700378417969,0.18000000715255737,-0.09000000357627869,0.1850000023841858,0.0,-0.09000000357627869,0.0,0.18000000715255737,0.18000000715255737,0.8349999785423279,0.0,0.1289999932050705,0.0,1.0,4.0,48.54999923706055,862.8250122070312,26.155519485473633,5.5,9.014549255371094,1097.4100341796875,1120168,924.3776286941015,16.016538784723895
402,-0.09300000220537186,-0.09300000220537186,3207.0,0.5839999914169312,9.602999687194824,8.232000350952148,24.549999237060547,82.8759994506836,0.3880000114440918,-0.1850000023841858,0.27799999713897705,-0.09300000220537186,-0.09300000220537186,0.0,0.3880000114440918,0.3880000114440918,0.8399999737739563,0.28600001335144043,0.38199999928474426,0.18000000715255737,1.0,4.0,57.849998474121094,865.5250244140625,26.140520095825195,5.300000190734863,9.014549255371094,1097.241943359375,1120169,5546.258352279768,45.38197024246884
403,-0.2029999941587448,-0.2029999941587448,3207.0,0.7319999933242798,9.458000183105469,8.270000457763672,24.538000106811523,82.8499984741211,0.2919999957084656,-0.1850000023841858,0.27799999713897705,-0.2029999941587448,-0.2029999941587448,0.0,0.46399998664855957,0.46399998664855957,0.7170000076293945,0.38199999928474426,0.45899999141693115,0.2919999957084656,0.0,6.0,65.01000213623047,867.2650146484375,26.13576889038086,5.300000190734863,15.474464416503906,1097.094970703125,1120170,6470.636926966167,63.673925433230195
404,-0.3610000014305115,-0.3610000014305115,3703.0,0.9350000023841858,9.369999885559082,8.220999717712402,24.6200008392334,82.91600036621094,0.1850000023841858,-0.09000000357627869,0.18000000715255737,-0.2590000033378601,-0.3610000014305115,0.0,0.4129999876022339,0.4129999876022339,0.7039999961853027,0.2930000126361847,0.45899999141693115,0.2930000126361847,0.0,6.0,69.2874984741211,866.375,26.146770477294922,5.724999904632568,15.474464416503906,1096.8929443359375,1120171,924.3776298871181,-15.080879339701305
405,-0.3610000014305115,-0.3610000014305115,3703.0,0.9350000023841858,9.369999885559082,8.220999717712402,24.6200008392334,82.91600036621094,0.1850000023841858,-0.09000000357627869,0.18000000715255737,-0.2590000033378601,-0.3610000014305115,0.0,0.4129999876022339,0.4129999876022339,0.7039999961853027,0.2930000126361847,0.45899999141693115,0.2930000126361847,0.0,6.0,69.2874984741211,866.375,26.146770477294922,5.724999904632568,15.474464416503906,1096.8929443359375,1120172,924.3776295287951,-37.25290984253519
406,-0.4129999876022339,-0.4129999876022339,3703.0,1.0140000581741333,9.298999786376953,8.243000030517578,24.614999771118164,82.90399932861328,0.1850000023841858,0.0,0.09000000357627869,-0.328000009059906,-0.3610000014305115,0.0,0.45899999141693115,0.45899999141693115,0.6629999876022339,0.328000009059906,0.5180000066757202,0.2590000033378601,0.0,5.0,68.8125,865.625,26.14322853088379,5.875,15.474464416503906,1096.8199462890625,1120173,924.3776288915708,26.6407850238672
407,-0.45899999141693115,-0.45899999141693115,3703.0,1.0950000286102295,9.227999687194824,8.267000198364258,24.611000061035156,82.89099884033203,0.20600000023841858,0.09000000357627869,0.0,-0.27000001072883606,-0.27000001072883606,0.0,0.5180000066757202,0.5180000066757202,0.6190000176429749,0.2590000033378601,0.5839999914169312,0.18000000715255737,0.0,4.0,68.3375015258789,864.875,26.139686584472656,6.025000095367432,15.474464416503906,1096.7459716796875,1120174,924.3776295748055,86.79854926668409
408,0.09000000357627869,0.09000000357627869,4213.0,0.49799999594688416,7.132999897003174,5.735000133514404,25.72800064086914,84.58499908447266,-0.09000000357627869,0.1809999942779541,8.031999588012695,0.09300000220537186,0.09000000357627869,0.0,0.656000018119812,0.656000018119812,2.003000020980835,0.47200000286102295,2.0480000972747803,0.3880000114440918,0.0,3.0,5.900000095367432,841.25,26.610937118530273,0.0,3.975024938583374,1104.0660400390625,1120391,1848.7573446208096,15.639636991976943
409,-0.2709999978542328,-0.2709999978542328,3703.0,0.8579999804496765,9.442000389099121,8.199999809265137,24.625,82.92900085449219,0.1850000023841858,-0.09300000220537186,0.20600000023841858,-0.2029999941587448,-0.2709999978542328,0.0,0.38199999928474426,0.38199999928474426,0.7429999709129333,0.27799999713897705,0.4129999876022339,0.2590000033378601,0.0,5.0,69.76249694824219,867.125,26.150310516357422,5.574999809265137,15.474464416503906,1096.967041015625,1120392,924.3786717269752,45.81267311300282
410,-0.2709999978542328,-0.2709999978542328,3703.0,0.8579999804496765,9.442000389099121,8.199999809265137,24.625,82.92900085449219,0.1850000023841858,-0.09300000220537186,0.20600000023841858,-0.2029999941587448,-0.2709999978542328,0.0,0.38199999928474426,0.38199999928474426,0.7429999709129333,0.27799999713897705,0.4129999876022339,0.2590000033378601,0.0,5.0,69.76249694824219,867.125,26.150310516357422,5.574999809265137,15.474464416503906,1096.967041015625,1120393,924.3786721704616,6.172548054153365
411,0.0,0.0,3703.0,0.47200000286102295,9.710000038146973,8.07699966430664,24.670000076293945,83.0199966430664,0.09000000357627869,0.0,0.1850000023841858,0.09000000357627869,0.0,0.0,0.09000000357627869,0.09000000357627869,0.8349999785423279,0.09000000357627869,0.09300000220537186,0.09000000357627869,1.0,3.0,44.650001525878906,861.9749755859375,26.156145095825195,5.5,4.558131217956543,1097.4840087890625,1120599,11092.528596424718,-7.397947594338913
412,0.0,0.0,3703.0,0.5370000004768372,9.803000450134277,8.107000350952148,24.6560001373291,82.99400329589844,0.27000001072883606,-0.09300000220537186,0.1850000023841858,0.0,0.0,0.0,0.20600000023841858,0.20600000023841858,0.8349999785423279,0.09000000357627869,0.2029999941587448,0.0,0.0,5.0,52.45000076293945,863.6749877929688,26.154895782470703,5.5,9.014549255371094,1097.3370361328125,1120600,924.3797173045385,21.65766730189085
413,0.0,0.0,3703.0,0.5879999995231628,9.729999542236328,8.12399959564209,24.64900016784668,82.98100280761719,0.3610000014305115,-0.09300000220537186,0.1850000023841858,0.0,0.0,0.0,0.2590000033378601,0.2590000033378601,0.8349999785423279,0.18000000715255737,0.2590000033378601,0.09000000357627869,0.0,5.0,56.349998474121094,864.5250244140625,26.15427017211914,5.5,9.014549255371094,1097.262939453125,1120601,1848.7583898918774,0.832516731987535
414,0.0,0.0,3703.0,0.6470000147819519,9.657999992370605,8.142000198364258,24.64299964904785,82.96800231933594,0.328000009059906,-0.09300000220537186,0.1850000023841858,0.0,0.0,0.0,0.328000009059906,0.328000009059906,0.8399999737739563,0.27000001072883606,0.2930000126361847,0.18000000715255737,0.0,5.0,60.25,865.375,26.153644561767578,5.5,9.014549255371094,1097.18896484375,1120602,924.3797168935894,22.27318522799478
415,-0.2709999978542328,-0.2709999978542328,3703.0,0.8579999804496765,9.442000389099121,8.199999809265137,24.625,82.92900085449219,0.1850000023841858,-0.09300000220537186,0.20600000023841858,-0.2029999941587448,-0.2709999978542328,0.0,0.38199999928474426,0.38199999928474426,0.7429999709129333,0.27799999713897705,0.4129999876022339,0.2590000033378601,0.0,5.0,69.76249694824219,867.125,26.150310516357422,5.574999809265137,15.474464416503906,1096.967041015625,1120603,924.379717227765,36.25150661718229
416,-0.3610000014305115,-0.3610000014305115,3703.0,0.9350000023841858,9.369999885559082,8.220999717712402,24.6200008392334,82.91600036621094,0.1850000023841858,-0.09000000357627869,0.18000000715255737,-0.2590000033378601,-0.3610000014305115,0.0,0.4129999876022339,0.4129999876022339,0.7039999961853027,0.2930000126361847,0.45899999141693115,0.2930000126361847,0.0,6.0,69.2874984741211,866.375,26.146770477294922,5.724999904632568,15.474464416503906,1096.8929443359375,1120604,924.3797174115184,-13.974622372151739
417,-0.45899999141693115,-0.45899999141693115,3703.0,1.0950000286102295,9.227999687194824,8.267000198364258,24.611000061035156,82.89099884033203,0.20600000023841858,0.09000000357627869,0.0,-0.27000001072883606,-0.27000001072883606,0.0,0.5180000066757202,0.5180000066757202,0.6190000176429749,0.2590000033378601,0.5839999914169312,0.18000000715255737,0.0,4.0,68.3375015258789,864.875,26.139686584472656,6.025000095367432,15.474464416503906,1096.7459716796875,1120605,924.3797166882312,86.79874933531036
418,0.0,0.0,4213.0,0.47200000286102295,7.119999885559082,5.709000110626221,25.716999053955078,84.56300354003906,-0.09300000220537186,0.1860000044107437,7.941999912261963,0.09300000220537186,0.0,0.0,0.5839999914169312,0.5839999914169312,1.9179999828338623,0.49799999594688416,2.0769999027252197,0.4560000002384186,1.0,2.0,6.099999904632568,841.25,26.60364532470703,0.0,3.975024938583374,1103.991943359375,1120815,4621.898537350031,92.19903651177486
419,0.0,0.0,3703.0,0.6190000176429749,9.769000053405762,8.015999794006348,24.74799919128418,83.08599853515625,0.27000001072883606,0.0,0.09300000220537186,0.0,0.0,0.0,0.1289999932050705,0.1289999932050705,0.7419999837875366,0.1289999932050705,0.1289999932050705,0.09000000357627869,0.0,4.0,54.209999084472656,863.5650024414062,26.164520263671875,5.699999809265137,9.014549255371094,1097.282958984375,1120816,1848.761526410701,13.415816684761088
